id,nop,owner_id,guardian_id,rt,rw,village,road,determination,block_number,land_area,land_area_unit,building_area,building_area_unit
79,350515000901900010,79,7,001,9,SUMBERJO,JL. DESA BLOK 019,422053,019.0001,3878,m2,72,m2
80,350515000901900020,80,7,001,9,SUMBERJO,DSN.KEMBANGAN SUMBERJO,118487,019.0002,872,m2,60,m2
81,350515000901900030,81,7,001,9,SUMBERJO,DSN.KEMBANGAN SUMBERJO,235717,019.0003,1938,m2,72,m2
82,350515000901900110,82,7,001,9,SUMBERJO,DSN KEMBANGAN,24496,019.0011,382,m2,0,m2
83,350515000902300230,83,7,001,8,SUMBERJO,DSN.KEMBANGAN SUMBERJO,52920,023.0023,1176,m2,0,m2
84,350515000902301100,84,7,0,0,SUMBERJO,BLOK 023,24075,023.0110,535,m2,0,m2
85,350515000902300920,85,7,003,9,SUMBERJO,BLOK 023,55890,023.0092,1242,m2,0,m2
86,350515000902300200,86,7,000,0,SUMBERJO,BLOK 023,18900,023.0020,420,m2,0,m2
87,350515000901900040,87,7,001,9,SUMBERJO,SUMBERJO,79459,019.0004,643,m2,54,m2
88,350515000901900050,88,7,001,9,SUMBERJO,JL. DESA BLOK 019,31162,019.0005,289,m2,12,m2
89,350515000901900090,89,7,001,9,SUMBERJO,BLOK 019,22401,019.0009,262,m2,0,m2
90,350515000901900820,90,7,1,9,SUMBERJO,SUMBERJO,44683,019.0082,428,m2,0,m2
91,350515000901900830,91,7,1,9,SUMBERJO,SUMBERJO,144490,019.0083,1384,m2,0,m2
92,350515000901900080,92,7,001,9,SUMBERJO,BLOK 019,14963,019.0008,175,m2,0,m2
93,350515000901900060,93,7,001,9,SUMBERJO,JL. DESA BLOK 019,49597,019.0006,388,m2,42,m2
94,350515000901800870,94,7,001,9,SUMBERJO,JL. DESA BLOK 018,120895,018.0087,1158,m2,0,m2
95,350515000901802240,95,7,001,9,SUMBERJO,DSN. KEMBANGAN JL. DESA,34538,018.0224,236,m2,45,m2
96,350515000901802230,96,7,001,9,SUMBERJO,DSN. KEMBANGAN JL. DESA,34538,018.0223,236,m2,45,m2
97,350515000901800890,97,7,001,9,SUMBERJO,BLOK 018,77235,018.0089,1029,m2,50,m2
98,350515000901800950,98,7,001,9,SUMBERJO,DSN.KEMBANGAN,46976,018.0095,233,m2,73,m2
99,350515000901800940,99,7,001,9,SUMBERJO,DSN KEMBANGAN,35600,018.0094,341,m2,0,m2
100,350515000902300170,100,7,000,0,SUMBERJO,BLOK 023,47835,023.0017,1063,m2,0,m2
101,350515000901800910,101,7,001,9,SUMBERJO,BLOK 018,26502,018.0091,301,m2,35,m2
102,350515000901801000,102,7,001,9,SUMBERJO,DSN KEMBANGAN,17122,018.0100,123,m2,0,m2
103,350515000901800930,103,7,001,9,SUMBERJO,JL. DESA BLOK 018,62636,018.0093,531,m2,35,m2
104,350515000901800860,104,7,001,9,SUMBERJO,BLOK 018,107409,018.0086,1675,m2,0,m2
105,350515000901800920,105,7,001,9,SUMBERJO,JL. DESA BLOK 018,89795,018.0092,742,m2,54,m2
106,350515000901801100,106,7,000,0,SUMBERJO,DSN KEMBANGAN,10000,018.0110,64,m2,0,m2
107,350515000902200530,107,7,001,9,SUMBERJO,BLOK 022,48285,022.0053,1073,m2,0,m2
108,350515000901800830,108,7,001,9,SUMBERJO,BLOK 018,85682,018.0083,1026,m2,82,m2
109,350515000901800880,109,7,001,9,SUMBERJO,BLOK 018,41232,018.0088,643,m2,0,m2
110,350515000902200510,110,7,001,9,SUMBERJO,BLOK 022,116145,022.0051,2581,m2,0,m2
111,350515000901800900,111,7,004,9,SUMBERJO,BLOK 018,21674,018.0090,338,m2,0,m2
112,350515000901800810,112,7,1,9,SUMBERJO,DSN KEMBANGAN,377083,018.0081,4585,m2,316,m2
113,350515000902200600,113,7,001,9,SUMBERJO,BLOK 022,36990,022.0060,822,m2,0,m2
114,350515000901800500,114,7,004,9,SUMBERJO,BLOK 018,28087,018.0050,438,m2,0,m2
115,350515000901800990,115,7,004,9,SUMBERJO,JL. DESA BLOK 018,54891,018.0099,856,m2,0,m2
116,350515000901801180,116,7,1,9,SUMBERJO,DSN KEMBANGAN,92324,018.0118,738,m2,80,m2
117,350515000901801140,117,7,1,9,SUMBERJO,DSN KEMBANGAN,47324,018.0114,738,m2,0,m2
118,350515000901801190,118,7,1,9,SUMBERJO,DSN. KEMBANGAN,61274,018.0119,738,m2,60,m2
119,350515000901802150,119,7,1,9,SUMBERJO,KEMBANGAN,95213,018.0215,1242,m2,66,m2
120,350515000902301060,120,7,000,0,SUMBERJO,BLOK  023,46530,023.0106,1034,m2,0,m2
121,350515000902300850,121,7,000,0,SUMBERJO,BLOK 023,169875,023.0085,3775,m2,0,m2
122,350515000901800840,122,7,001,9,SUMBERJO,BLOK 018,130705,018.0084,1846,m2,54,m2
123,350515000901700340,123,7,003,9,SUMBERJO,BLOK 017,23726,017.0034,370,m2,0,m2
124,350515000901900760,124,7,000,0,SUMBERJO,,60656,019.0076,581,m2,0,m2
125,350515000901900780,125,7,000,0,SUMBERJO,,29858,019.0078,286,m2,0,m2
126,350515000901401870,126,7,002,9,SUMBERJO,DSN KEMBANGAN,10000,014.0187,84,m2,0,m2
127,350515000901401710,127,7,1,9,SUMBERJO,BLOK 014,32130,014.0171,714,m2,0,m2
128,350515000902300760,128,7,1,8,SUMBERJO,BLOK 023,38205,023.0076,849,m2,0,m2
129,350515000902300710,129,7,000,0,SUMBERJO,BLOK 023,29925,023.0071,665,m2,0,m2
130,350515000902300800,130,7,000,0,SUMBERJO,BLOK 023,44910,023.0080,998,m2,0,m2
131,350515000902300830,131,7,000,0,SUMBERJO,BLOK 023,30240,023.0083,672,m2,0,m2
132,350515000901400840,132,7,001,9,SUMBERJO,BLOK 014,33975,014.0084,755,m2,0,m2
133,350515000901401170,133,7,001,9,SUMBERJO,BLOK 014,70245,014.0117,1131,m2,80,m2
134,350515000901401850,134,7,002,9,SUMBERJO,DSN KEMBANGAN,10000,014.0185,27,m2,0,m2
135,350515000901400780,135,7,001,9,SUMBERJO,BLOK 014,76916,014.0078,1301,m2,50,m2
136,350515000901501910,136,7,000,0,SUMBERJO,NGADIPURO,19622,015.0191,306,m2,0,m2
137,350515000901800730,137,7,004,9,SUMBERJO,BLOK 018,50659,018.0073,790,m2,0,m2
138,350515000901801080,138,7,000,0,SUMBERJO,BLOK 018,53673,018.0108,837,m2,0,m2
139,350515000901501660,139,7,001,7,SUMBERJO,DSN NGADIPURO,27446,015.0166,428,m2,0,m2
140,350515000901502290,140,7,002,9,SUMBERJO,DSN KEMBANGAN,39607,015.0229,88,m2,60,m2
141,350515000901501070,141,7,002,9,SUMBERJO,DSN KEMBANGAN,11885,015.0107,139,m2,0,m2
142,350515000901501350,142,7,000,0,SUMBERJO,BLOK 015,14792,015.0135,173,m2,0,m2
143,350515000901500730,143,7,002,9,SUMBERJO,DSN KEMBANGAN,84789,015.0073,433,m2,66,m2
144,350515000901501210,144,7,002,9,SUMBERJO,DSN. KEMBANGAN,57305,015.0121,284,m2,70,m2
145,350515000901502280,145,7,002,9,SUMBERJO,DSN. KEMBANGAN,10000,015.0228,107,m2,0,m2
146,350515000901500740,146,7,002,9,SUMBERJO,BLOK 015,13997,015.0074,61,m2,66,m2
147,350515000901500750,147,7,003,9,SUMBERJO,BLOK 015,23771,015.0075,268,m2,66,m2
148,350515000901401200,148,7,001,9,SUMBERJO,BLOK 014,43965,014.0120,977,m2,0,m2
149,350515000901401380,149,7,000,0,SUMBERJO,BLOK 014,66375,014.0138,1475,m2,0,m2
150,350515000901500780,150,7,002,9,SUMBERJO,BLOK 015,132098,015.0078,2060,m2,0,m2
151,350515000901501570,151,7,000,0,SUMBERJO,BLOK 015,69576,015.0157,1085,m2,0,m2
152,350515000901500790,152,7,003,9,SUMBERJO,BLOK 015,23835,015.0079,269,m2,66,m2
153,350515000901401070,153,7,001,9,SUMBERJO,BLOK 014,18675,014.0107,415,m2,0,m2
154,350515000901401350,154,7,000,0,SUMBERJO,BLOK 014,51795,014.0135,1151,m2,0,m2
